iter	Passed	Remaining
0	14	422
1	32	457
2	47	431
3	63	414
4	78	390
5	93	374
6	113	371
7	132	364
8	151	354
9	165	331
10	183	317
11	198	297
12	218	285
13	238	272
14	257	257
15	280	245
16	317	242
17	339	226
18	374	216
19	411	205
20	434	186
21	471	171
22	509	155
23	541	135
24	589	117
25	614	94
26	640	71
27	674	48
28	718	24
29	748	0
